"","PACFIN_SPECIES_CODE","NOMINAL_TO_ACTUAL_PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","Freq"
"238","RSOL","RSOL","ROCK SOLE",11500
"239","RST1","RSTN","NOM. ROSETHORN ROCKFISH",742
"240","RSTN","RSTN","ROSETHORN ROCKFISH",101994
"241","RTSK","RTSK","ROUGHTAIL SKATE",122
"242","RURC","RURC","RED SEA URCHIN",400698
"243","RZCL","RZCL","ROSY RAZOR CLAM",22
"244","SABL","SABL","SABLEFISH",1020943
"245","SAIL","SAIL","SAILFISH",4
"246","SARY","SARY","PACIFIC SAURY",3
"247","SBL1","SBLY","NOM. SHORTBELLY ROCKFISH",2284
"248","SBLY","SBLY","SHORTBELLY ROCKFISH",25442
"249","SCLM","SCLM","SOFT-SHELLED CLAM",438
"250","SCLP","SCLP","UNSP. SCULPIN",7715
"251","SCOR","SCOR","CALIFORNIA SCORPIONFISH",216
"252","SCR1","SCOR","NOM. CALIFORNIA SCORPIONFISH",19909
"253","SDB1","SSDB","NOM. SPECKLED SANDDAB",26
"254","SFL1","STRY","NOM. STARRY FLOUNDER",10012
"255","SHAD","SHAD","UNSP. SHAD",48628
"256","SHP1","SHPD","NOM. CALIFORNIA SHEEPHEAD",28636
"257","SHPD","SHPD","CALIFORNIA SHEEPHEAD",2356
"258","SHRP","SHRP","SHARPCHIN ROCKFISH",140498
"259","SKCR","SKCR","SCARLET KING CRAB",5
"260","SLGR","SLGR","SILVERGRAY ROCKFISH",91818
"261","SLNS","SLNS","SLENDER SOLE",721
"262","SMLT","SMLT","UNSP. SMELT",34750
"263","SNOS","SNOS","SPLITNOSE ROCKFISH",191769
"264","SNS1","SNOS","NOM. SPLITNOSE ROCKFISH",1156
"265","SOCK","SOCK","SOCKEYE SALMON",73666
"266","SPK1","SPKL","NOM. SPECKLED ROCKFISH",773
"267","SPKL","SPKL","SPECKLED ROCKFISH",8998
"268","SPRW","SPRW","SPOTTED PRAWN",89572
"269","SPSK","SPSK","SANDPAPER SKATE",5188
"270","SQID","SQID","UNSP. SQUID",37141
"271","SQR1","SQRS","NOM. SQUARESPOT",482
"272","SQRS","SQRS","SQUARESPOT ROCKFISH",1285
"273","SRFP","SRFP","SURFPERCH SPP.",32824
"274","SRK1","SRKR","NOM. SHORTRAKER ROCKFISH",532
"275","SRKR","SRKR","SHORTRAKER ROCKFISH",83367
"276","SSKT","SSKT","STARRY SKATE",47
"277","SSO1","SSOL","NOM. SAND SOLE",9939
"278","SSOL","SSOL","SAND SOLE",17781
"279","SSP1","SSPN","NOM. SHORTSPINE THORNYHEAD",58565
"280","SSPF","SSPF","SHORTBILL SPEARFISH",3
"281","SSPN","SSPN","SHORTSPINE THORNYHEAD",393539
"282","SSRK","SSRK","SOUPFIN SHARK",13477
"283","STAR","STAR","STARRY ROCKFISH",23354
"284","STL1","STRK","NOM. STRIPETAIL ROCKFISH",233
"285","STLH","STLH","STEELHEAD",154353
"286","STNA","STNA","SKIPJACK TUNA",1805
"287","STR1","STAR","NOM. STARRY ROCKFISH",2504
"288","STRB","STRB","SPOTTED TURBOT",5
"289","STRK","STRK","STRIPETAIL ROCKFISH",32395
"290","STRY","STRY","STARRY FLOUNDER",16972
"291","SWRD","SWRD","SWORDFISH",23987
"292","SWS1","SWSP","NOM. SWORDSPINE ROCKFISH",25
"293","SWSP","SWSP","SWORDSPINE ROCKFISH",45
"294","TCOD","TCOD","PACIFIC TOMCOD",75
"295","TGR1","TIGR","NOM. TIGER ROCKFISH",1552
"296","THDS","THDS","THORNYHEADS (MIXED)",17124
"297","TIGR","TIGR","TIGER ROCKFISH",24648
"298","TRE1","TREE","NOM. TREEFISH",3587
"299","TREE","TREE","TREEFISH",31140
"300","TSRK","TSRK","COMMON THRESHER SHARK",19147
"301","UABL","UABL","UNSP. ABALONE",2
"302","UCLM","UCLM","UNSP. CLAM",1533
"303","UCRB","UCRB","UNSP. CRAB",4273
"304","UDAB","UDAB","UNSP. SANDDABS",16631
"305","UDNR","UDNR","UNSP. DEEP NEAR-SHORE RF",218
"306","UECH","UECH","UNSP. ECHINODERM",1878
"307","UFLT","UFLT","UNSP. FLATFISH",22817
"308","UHAG","UHAG","UNSP. HAGFISH",19425
"309","UHLB","UHLB","UNSP. HALIBUT",328
"310","UKCR","UKCR","UNSP. KING CRAB",1737
"311","UMCK","UMCK","UNSP. MACKEREL",2164
"312","UMSK","UMSK","UNSP. MOLLUSKS",4627
"313","UPOP","POP","UNSP. POP GROUP",203
